frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects
129,39.59,16.0,1064,996,2004,225302,448,32,5,-175.5,107.8,1118.9,2060128634,1,2385,234,1193.3,1133.4,8
130,34.06,16.0,1077,1102,2222,231934,622,32,6,-175.5,107.3,1111.9,2061371718,1,2435,234,1194.8,1134.7,20
131,30.13,16.0,1093,1069,2279,236474,574,32,6,-175.5,106.9,1105.9,2066308866,1,2477,236,1195.0,1134.9,20
132,37.45,16.0,1093,1049,2361,247801,524,32,6,-175.5,106.6,1100.8,2071269882,1,2527,236,1196.8,1136.7,20
133,78.10,16.0,1187,1035,2370,253286,520,32,6,-175.5,106.2,1094.5,2082480698,1,2530,236,1201.0,1140.9,20
134,50.55,16.0,1229,1032,2180,235193,513,32,6,-175.5,105.5,1082.0,2085254086,1,2536,236,1204.1,1144.0,20
135,36.39,16.0,1273,928,2062,222821,508,32,6,-175.5,105.0,1074.2,2087741914,1,2540,236,1205.1,1145.0,20
136,35.27,16.0,1284,871,2015,220555,458,32,6,-175.5,104.6,1068.8,2092710670,1,2588,236,1205.8,1145.8,33
137,31.89,16.0,1296,882,2080,226980,408,32,6,-175.5,104.3,1063.7,2095692274,1,2635,236,1207.9,1147.8,34
138,25.92,16.0,1298,898,2084,229580,358,32,6,-175.5,104.0,1059.2,2096600670,1,2684,236,1208.8,1148.7,34
139,39.10,16.0,1304,937,2150,235500,308,32,6,-175.5,103.8,1055.7,2099647826,1,2734,236,1208.9,1148.8,35
140,104.68,16.0,745,944,2187,243379,209,26,4,-175.5,103.5,1050.5,2111092310,1,2784,236,1209.8,1149.7,35
141,35.81,16.0,745,957,2216,248921,159,26,4,-175.5,102.7,1037.6,2108267470,1,2592,236,1214.8,1154.7,35
142,38.87,21.0,753,890,2028,237356,464,26,5,-175.5,102.4,1033.6,2110624954,1,2510,236,1218.8,1158.6,35
143,55.61,21.0,755,896,2062,239749,441,26,5,-175.5,102.2,1029.4,2115819830,1,2559,236,1219.9,1159.7,35
144,38.13,21.0,758,901,2087,247663,557,26,6,-175.5,101.8,1023.7,2121045154,1,2608,236,1222.7,1162.5,35
145,39.62,21.0,758,891,2082,247026,511,26,6,-175.5,101.6,1020.1,2125674246,1,2658,240,1225.9,1165.6,36
146,25.45,21.0,758,871,2054,246434,461,26,6,-175.5,101.4,1016.6,2126316506,1,2708,240,1226.7,1166.5,36
147,30.30,21.0,766,861,2048,242591,411,26,6,-175.5,101.2,1014.5,2127133738,1,2757,244,1226.8,1166.6,37
148,34.60,21.0,766,879,2063,243293,360,26,6,-175.5,101.1,1012.1,2129993694,1,2807,244,1226.7,1166.5,37
149,30.98,21.0,772,906,2135,253720,309,29,5,-175.5,100.9,1009.5,2130652338,1,2857,244,1227.8,1167.5,38
150,28.05,21.0,775,889,2118,260826,411,29,6,-175.5,100.8,1007.4,2131667574,1,2906,246,1228.0,1167.7,38
151,124.50,21.0,797,883,2118,258013,362,29,6,-175.5,100.7,1005.6,2143056962,1,2948,247,1880.0,1819.7,39
152,49.37,21.0,797,864,2119,256703,312,29,6,-175.5,100.3,999.3,2149961450,1,2998,247,1361.0,1300.7,39
153,38.28,21.0,797,814,2077,254856,262,29,6,-175.5,100.2,997.5,2154616146,1,3048,247,1364.0,1303.7,39
154,51.65,21.0,799,813,2106,260401,212,29,6,-175.5,100.1,996.4,2163825222,1,3097,247,1366.0,1305.7,39
155,30.73,21.0,803,839,2155,268275,162,29,6,-175.5,100.0,995.4,2169236806,1,3146,250,1370.0,1309.7,39
156,34.43,21.0,805,836,2143,267423,337,30,6,-175.5,100.0,995.0,2175576152,1,3196,250,1377.2,1316.6,39
157,60.46,21.0,807,856,2170,273019,313,30,6,-175.5,100.0,994.8,2177571762,1,3245,261,1378.8,1318.2,39
158,26.41,21.0,809,856,2180,274600,263,30,6,-175.5,100.0,994.7,2178426134,2,3294,261,1378.6,1318.0,39
159,132.67,21.0,822,878,2237,279209,213,30,6,-175.3,100.0,994.7,2194254754,2,3343,261,2066.5,2005.9,39
160,34.59,18.0,826,583,1702,234576,163,30,6,-166.7,100.0,994.7,2195298666,2,3391,261,1417.6,1357.0,39
161,35.67,18.0,827,238,1013,150413,259,32,6,-162.6,100.0,994.7,2198308730,2,3441,261,1419.6,1359.0,39
162,23.65,18.0,837,259,1139,157142,209,32,6,-157.8,100.0,994.7,2199393658,2,3486,261,1420.6,1360.0,39
163,28.09,18.0,837,297,1238,172199,159,32,6,-154.3,100.0,994.7,2202539326,2,3536,261,1420.6,1360.0,39
164,26.81,18.0,838,308,1362,182843,201,33,6,-149.8,100.0,994.7,2204719946,2,3586,261,1424.2,1363.2,39
165,32.69,18.0,838,328,1421,194250,172,33,6,-145.1,100.0,994.7,2205788090,2,3636,266,1424.2,1363.2,39
166,24.15,18.0,840,341,1480,202563,122,33,6,-139.1,100.0,994.7,2206716818,2,3685,266,1424.2,1363.2,39
167,121.14,18.0,803,391,1581,213148,72,33,6,-134.4,100.0,994.7,2207676486,2,3732,266,2128.2,2067.2,39
168,58.27,18.0,801,397,1621,215701,22,32,4,-108.4,100.0,994.7,2208314026,2,3782,266,1442.2,1381.2,39
169,33.66,18.0,765,507,1982,262477,310,32,4,-94.8,100.0,994.7,2209727278,2,3804,266,1443.5,1382.5,39
170,37.02,18.0,765,509,2012,264141,284,34,2,-86.9,100.0,994.7,2210356106,2,3854,271,1443.7,1382.7,39
171,30.08,18.0,769,517,2101,277443,234,34,2,-78.0,100.0,994.7,2211169338,2,3903,271,1443.6,1382.6,39
172,34.24,18.0,771,534,2150,291373,432,34,4,-70.8,100.0,994.7,2213287742,2,3953,271,1449.2,1388.0,39
173,61.17,18.0,771,585,2289,299662,419,34,4,-62.6,100.0,994.7,2214822338,2,4003,271,1449.2,1388.0,39
174,32.20,18.0,785,721,2479,324990,369,34,4,-48.2,100.0,994.7,2217874288,2,4051,278,1449.3,1388.1,39
175,29.96,18.0,785,843,2714,354170,318,34,4,-40.8,100.0,994.7,2221150064,2,4101,279,1450.2,1389.0,39
176,40.98,18.0,789,888,2886,366910,676,34,6,-34.1,100.0,994.7,2229145896,2,4150,279,1459.2,1397.5,39
177,137.89,18.0,839,950,3161,389479,714,38,5,-25.3,100.0,994.7,2243733371,2,4150,279,1461.2,1399.4,39
178,92.51,18.0,847,925,3400,401906,664,36,5,0.7,100.0,994.7,2253242743,2,4199,292,1466.2,1404.4,39
179,47.61,18.0,855,930,3445,408316,614,36,5,13.7,100.0,994.7,2256135415,2,4247,292,1471.1,1409.4,39
180,38.05,18.0,861,1096,3588,430369,564,36,5,18.5,100.0,994.7,2257264599,2,4294,292,1471.9,1410.2,39
181,40.75,18.0,919,1165,3633,439541,524,36,5,21.5,100.0,994.7,2260224214,2,4329,292,1472.3,1410.6,39
182,31.67,18.0,921,1163,3630,436571,746,36,6,23.5,100.0,994.7,2261852154,2,4379,292,1479.5,1417.7,39
183,55.87,18.0,921,1156,3631,436532,720,36,6,24.3,100.0,994.7,2263533758,2,4429,292,1479.6,1417.9,39
184,27.00,18.0,923,1158,3629,436478,669,36,6,24.5,100.0,994.7,2264812970,2,4478,292,1479.5,1417.7,39
185,130.96,18.0,941,1152,3627,436180,618,36,6,24.4,100.0,994.9,2266435894,2,4527,294,2213.9,2152.1,39
186,35.74,18.0,943,1150,3629,436470,568,36,6,21.9,100.0,1000.9,2267372150,2,4576,294,1509.5,1447.7,39
187,32.80,18.0,951,1142,3618,437781,518,36,6,20.7,100.0,1003.9,2268375890,2,4624,294,1509.7,1447.9,39
188,25.81,18.0,953,1108,3597,433603,467,36,6,19.4,100.0,1007.0,2269387966,2,4673,294,1509.5,1447.7,39
189,30.54,18.0,957,1100,3584,424880,417,36,6,18.3,100.0,1009.7,2270450518,2,4721,294,1509.5,1447.7,39
190,26.65,18.0,957,1079,3569,420772,367,36,6,16.8,100.0,1013.2,2273439426,2,4771,294,1509.5,1447.7,39
191,49.64,18.0,959,1062,3533,414705,317,38,5,15.5,100.0,1016.5,2280704806,2,4820,294,1510.5,1448.7,39
192,32.51,18.0,962,1036,3491,409200,393,38,6,12.7,100.0,1023.1,2285998608,2,4869,294,1517.1,1455.1,39
193,61.59,18.0,964,1052,3490,408819,369,38,6,10.8,100.0,1027.7,2289503478,2,4918,294,1521.2,1459.2,39
194,30.48,18.0,967,1017,3448,404303,450,39,6,6.9,100.0,1037.0,2290753946,2,4967,294,1520.6,1458.6,39
195,34.04,18.0,969,987,3409,405839,421,39,6,4.9,100.0,1041.9,2291741434,2,5016,296,1520.7,1458.6,39
196,133.88,18.0,973,1017,3418,409567,371,39,6,2.6,100.0,1047.4,2292776378,2,5064,296,2264.6,2202.6,39
197,69.26,19.0,973,1092,3437,422451,321,39,6,-6.7,100.0,1070.0,2293907826,2,5114,296,1530.6,1468.6,39
198,37.59,19.0,986,1145,3504,440238,270,39,6,-11.5,100.0,1081.6,2295165526,2,5163,296,1531.2,1469.2,39
199,31.87,19.0,988,1198,3571,446473,220,40,4,-14.1,100.0,1087.8,2295911874,2,5212,301,1531.1,1469.1,39
200,34.25,19.0,992,1215,3565,444895,423,40,5,-16.2,100.0,1092.9,2301700934,2,5261,304,1542.7,1479.6,39
201,87.08,19.0,1028,1234,3607,455785,432,40,5,-18.4,100.0,1098.2,2304753982,2,5275,313,1544.2,1480.6,39
202,40.01,19.0,1088,1301,3720,472006,427,40,5,-23.6,100.0,1110.7,2305358026,2,5275,313,1544.2,1480.6,39
203,37.81,19.0,1112,1309,3755,475791,377,40,5,-25.7,100.0,1115.8,2306822478,2,5323,315,1544.2,1480.6,39
204,37.80,19.0,1148,1362,3882,485239,337,40,5,-27.5,100.0,1120.3,2307917449,2,5360,317,1544.2,1480.6,39
205,35.83,19.0,1160,1408,3953,492592,287,40,5,-29.2,100.0,1124.3,2308880201,2,5409,318,1544.2,1480.6,39
206,26.14,19.0,1161,1415,3962,493150,237,40,6,-30.6,100.0,1127.6,2309743229,2,5459,318,1544.1,1480.5,39
207,32.78,19.0,1163,1416,3989,492814,187,43,5,-31.5,100.0,1129.8,2310667997,2,5508,318,1544.1,1480.5,39
208,35.63,19.0,1164,1411,4001,489006,383,43,6,-32.4,100.0,1132.0,2312974957,2,5558,318,1560.0,1496.4,39
209,92.79,19.0,1164,1416,4031,490050,408,44,5,-33.2,100.0,1134.0,2315492409,2,5608,318,1560.4,1496.8,39
210,31.00,19.0,1165,1420,4047,491900,358,44,6,-34.1,100.0,1136.2,2319197493,2,5658,320,1560.0,1496.4,39
211,32.61,19.0,1165,1436,4069,493057,308,45,5,-34.4,100.0,1136.3,2320209085,2,5708,320,1560.0,1496.4,39
212,29.17,19.0,1166,1436,4067,492459,258,45,6,-35.2,100.0,1136.6,2321657877,2,5758,320,1560.0,1496.4,39
213,43.78,19.0,1238,1426,4059,491127,245,46,5,-36.3,100.0,1137.1,2322458389,2,5767,320,1560.3,1496.7,39
214,42.11,19.0,1310,1438,4064,493308,239,46,5,-38.8,100.0,1138.1,2323528377,2,5769,320,1560.3,1496.7,39
215,42.06,19.0,1382,1453,4082,497386,233,46,5,-42.0,100.0,1139.4,2326089005,2,5771,320,1560.3,1496.7,39
